(0, 0, ((256, 2000, 4, 0.6444444444444445, 0.24189655172413793, 0.5172413793103449, 0.0), None), None, -0.6781355649276131, 3.147758722305298)
(0, 1, ((128, 1000, 6, 0.8222222222222222, 0.06982758620689655, 2.896551724137931, 1.8620689655172413), None), None, -0.6074989211445091, 2.6547892093658447)
(0, 2, ((512, 100, 6, 0.7333333333333334, 0.001, 0.10344827586206896, 2.586206896551724), None), None, -4.487065686911488, 1.8065369129180908)
(0, 3, ((128, 1000, 3, 0.6444444444444445, 0.2246896551724138, 0.20689655172413793, 2.4827586206896552), None), None, -0.6631373774945561, 2.118338108062744)
(0, 4, ((16, 1000, 5, 0.5555555555555556, 0.12144827586206897, 1.5517241379310345, 0.10344827586206896), None), None, -1.1304969742555322, 2.6279244422912598)
(0, 5, ((512, 5000, 3, 0.7333333333333334, 0.2246896551724138, 1.6551724137931034, 1.7586206896551724), None), None, -0.6589737714108109, 4.853320837020874)
(0, 6, ((32, 2000, 6, 0.5555555555555556, 0.19027586206896552, 1.9655172413793103, 2.689655172413793), None), None, -0.8279245216165604, 3.5342981815338135)
(0, 7, ((128, 2000, 5, 0.9111111111111112, 0.4655862068965517, 1.3448275862068966, 3.0), None), None, -0.6763265059881121, 3.2631797790527344)
(0, 8, ((16, 1000, 5, 1.0, 0.3279310344827586, 2.586206896551724, 0.20689655172413793), None), None, -1.087238416001648, 2.3854944705963135)
(0, 9, ((16, 100, 3, 0.4666666666666667, 0.43117241379310345, 1.6551724137931034, 0.9310344827586207), None), None, -1.7313741200241288, 1.688443660736084)
(0, 10, ((128, 100, 5, 0.8222222222222222, 0.4655862068965517, 1.3448275862068966, 1.6551724137931034), None), None, -0.674411642942267, 1.7152037620544434)
(0, 11, ((256, 1000, 5, 0.6444444444444445, 0.1386551724137931, 1.7586206896551724, 1.7586206896551724), None), None, -0.617600842790725, 2.7276947498321533)
(0, 12, ((64, 1000, 6, 0.6444444444444445, 0.34513793103448276, 2.689655172413793, 0.41379310344827586), None), None, -0.7211931285515796, 3.440361976623535)
(0, 13, ((256, 5000, 5, 1.0, 0.12144827586206897, 0.10344827586206896, 2.2758620689655173), None), None, -0.6042279085805083, 6.559610843658447)
(0, 14, ((64, 5000, 2, 0.2, 0.3623448275862069, 1.5517241379310345, 1.3448275862068966), None), None, -0.8608233257312266, 3.428982973098755)
(0, 15, ((16, 5000, 6, 0.2, 0.4483793103448276, 1.2413793103448276, 2.793103448275862), None), None, -3.1434792566634298, 5.010409116744995)
