(0, 0, ((1, 2), {'y': 1.1377870791610327}), [{'target': 4.006038334137642, 'params': {'y': 1.1377870791610327}}, {'target': -1.750310736763634, 'params': {'y': -4.499505075749718}}, {'target': 1.0319682639185128, 'params': {'y': 3.186492502386251}}], 4.006038334137642, 0.0015225410461425781)
(0, 1, ((2, -1), {'y': 0.5167632159343025}), [{'target': 1.8774017880810305, 'params': {'y': -4.13794613448737}}, {'target': 17.94505613242075, 'params': {'y': 1.027104604010347}}, {'target': 18.73295577865724, 'params': {'y': 0.5167632159343025}}], 18.73295577865724, 0.0011026859283447266)
(0, 2, ((1, 3), {'y': -2.125845823977465}), [{'target': -2.1196490960933083, 'params': {'y': 4.376214084972089}}, {'target': 0.5604980917758002, 'params': {'y': 2.2731027076078894}}, {'target': 1.5158634408860507, 'params': {'y': -2.125845823977465}}], 1.5158634408860507, 0.0012595653533935547)
(0, 3, ((1, 2), {'y': 0.10656911948069858}), [{'target': 4.788532924255438, 'params': {'y': 0.10656911948069858}}, {'target': 2.4307251178107965, 'params': {'y': -1.4405285869829543}}, {'target': -0.6614129349275881, 'params': {'y': 5.0}}], 4.788532924255438, 0.23945951461791992)
(0, 4, ((1, 0), {'y': 2.11342801340093}), [{'target': 2.734421467615986, 'params': {'y': -2.3748364134067748}}, {'target': 2.2665994310819766, 'params': {'y': -2.536309131523986}}, {'target': 4.521441142259793, 'params': {'y': 2.11342801340093}}], 4.521441142259793, 0.000949859619140625)
(0, 5, ((1, 3), {'y': -2.124728942629681}), [{'target': 1.522781467769807, 'params': {'y': -2.124728942629681}}, {'target': 0.8502228459984362, 'params': {'y': -1.6567144783841634}}, {'target': 0.9889007845331879, 'params': {'y': 1.3725564038681277}}], 1.522781467769807, 0.2562422752380371)
(0, 6, ((1, 0), {'y': 1.835427775814771}), [{'target': 4.416452271367945, 'params': {'y': 2.1279830155756194}}, {'target': 4.838454055693422, 'params': {'y': 1.835427775814771}}, {'target': 4.83394454623031, 'params': {'y': 1.8341644929483607}}], 4.838454055693422, 0.21062564849853516)
(0, 7, ((2, 2), {'y': -1.810197384089217}), [{'target': 7.816344929491716, 'params': {'y': -2.860708840568764}}, {'target': 12.723185430636557, 'params': {'y': -1.810197384089217}}, {'target': 10.115632791429775, 'params': {'y': 2.425771466682347}}], 12.723185430636557, 0.0008211135864257812)
(0, 8, ((2, 3), {'y': 0.09834910356579574}), [{'target': -0.7943470385067783, 'params': {'y': -3.434289888536898}}, {'target': -4.198480094700184, 'params': {'y': 3.898522809308698}}, {'target': 10.990327453827804, 'params': {'y': 0.09834910356579574}}], 10.990327453827804, 0.0007472038269042969)
(0, 9, ((1, -1), {'y': -1.1081234749318503}), [{'target': 3.7535227602472077, 'params': {'y': 1.663205423616092}}, {'target': 5.908416455548043, 'params': {'y': -1.1081234749318503}}, {'target': 3.259394254043258, 'params': {'y': -2.2209153591162387}}], 5.908416455548043, 0.0007684230804443359)
(0, 10, ((2, 0), {'y': 0.2530238441175019}), [{'target': 4.467812010892281, 'params': {'y': -3.9410896956435435}}, {'target': 18.37705383049565, 'params': {'y': 1.2739490450973108}}, {'target': 19.935978934308004, 'params': {'y': 0.2530238441175019}}], 19.935978934308004, 0.0146484375)
(0, 11, ((1, 2), {'y': 0.10656911948069858}), [{'target': 3.293731611642027, 'params': {'y': 0.43695741915918707}}, {'target': 3.2471658322299213, 'params': {'y': -0.4704885350122393}}, {'target': 3.247284243938454, 'params': {'y': -0.4703778290510394}}], 4.788532924255438, 0.2400650978088379)
(0, 12, ((1, 2), {'y': 0.10656911948069858}), [{'target': 2.863248198784124, 'params': {'y': 1.7971442042683206}}, {'target': 0.9495105765738501, 'params': {'y': -2.574804818904587}}, {'target': 1.1885098842220803, 'params': {'y': 2.4155582373891904}}], 4.788532924255438, 0.275693416595459)
(0, 13, ((2, 2), {'y': 0.2144119535163319}), [{'target': 12.526906654745472, 'params': {'y': -1.8636237134289013}}, {'target': 15.216463662286685, 'params': {'y': -0.885175879536556}}, {'target': 15.95402751418931, 'params': {'y': 0.2144119535163319}}], 15.95402751418931, 0.24431300163269043)
(0, 14, ((0, 0), {'y': -2.074435686579749}), [{'target': -5.3771771410708915, 'params': {'y': -2.074435686579749}}, {'target': -16.19421600480485, 'params': {'y': 3.1853351490228636}}, {'target': -34.67138214058052, 'params': {'y': 4.709992548844543}}], -5.3771771410708915, 0.0009176731109619141)
(0, 15, ((0, 0), {'y': -2.074435686579749}), [{'target': -27.252328050962127, 'params': {'y': -3.6908809266256615}}, {'target': -21.17605777938943, 'params': {'y': -2.345993838911724}}, {'target': -5.378578742995018, 'params': {'y': -2.074478835493073}}], -5.3771771410708915, 0.16173243522644043)
(0, 16, ((0, -1), {'y': 4.924539629492756}), [{'target': -27.704915848362486, 'params': {'y': -4.230922738804516}}, {'target': -33.26033511266405, 'params': {'y': 3.5015432641410698}}, {'target': -26.354194676261073, 'params': {'y': 4.924539629492756}}], -26.354194676261073, 0.0008335113525390625)
(0, 17, ((2, 1), {'y': -1.3461088307599187}), [{'target': 8.955167250766504, 'params': {'y': 3.169358412870576}}, {'target': -4.756542522692982, 'params': {'y': 4.874068374847955}}, {'target': 17.187991015750164, 'params': {'y': -1.3461088307599187}}], 17.187991015750164, 0.0009098052978515625)
(0, 18, ((2, 1), {'y': 0.9891141725551982}), [{'target': 9.161142928467473, 'params': {'y': -3.13669524683743}}, {'target': 17.646762841890933, 'params': {'y': -1.16328722081396}}, {'target': 18.021653153650444, 'params': {'y': 0.9891141725551982}}], 18.021653153650444, 0.2285633087158203)
